"sound","word","condition","speaker","plsIntvl","plsIntvlNorm","points","pointsNorm","pointsOrig","file","intensityOrig","conditionNorm","conditionNorm2","wordType","conditionWord"
"o","tawsː_^ulo_","Free narrative","M40",0.007000000000005,0.0884955752213057,0.0837999999999965,1.05941845764854,0.137299999999996,"07__M35__M40_free_narr",76.6102,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00749999999999318,0.0948166877369593,0.0910499999999956,1.15107458912768,0.144300000000001,"07__M35__M40_free_narr",75.8134,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00780000000000314,0.098609355246567,0.0986999999999938,1.24778761061944,0.151799999999994,"07__M35__M40_free_narr",75.5571,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00790000000000646,0.0998735777497696,0.106549999999999,1.34702907711761,0.159599999999998,"07__M35__M40_free_narr",75.8218,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00809999999999889,0.102402022755995,0.114550000000001,1.44816687737049,0.167500000000004,"07__M35__M40_free_narr",75.7514,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00820000000000221,0.103666245259198,0.122700000000002,1.55120101137809,0.175600000000003,"07__M35__M40_free_narr",75.7091,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","tawsː_^ulo_","Free narrative","M40",0.00839999999999463,0.106194690265423,0.131,1.6561314791404,0.183800000000005,"07__M35__M40_free_narr",75.8207,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00820000000000221,0.146428571428618,-0.0496000000000052,-0.88571428571442,0.00249999999999773,"07__M35__M40_free_narr",78.049,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00809999999999889,0.144642857142844,-0.0414500000000046,-0.740178571428689,0.0106999999999999,"07__M35__M40_free_narr",77.9428,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00800000000000978,0.142857142857324,-0.0334000000000003,-0.596428571428605,0.0187999999999988,"07__M35__M40_free_narr",77.8845,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00789999999999225,0.141071428571297,-0.0254499999999993,-0.454464285714295,0.0268000000000086,"07__M35__M40_free_narr",77.9456,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00800000000000978,0.142857142857324,-0.0174999999999983,-0.312499999999984,0.0347000000000008,"07__M35__M40_free_narr",77.9306,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00799999999999557,0.14285714285707,-0.00949999999999562,-0.169642857142787,0.0427000000000106,"07__M35__M40_free_narr",77.317,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"o","w_olˀ^o_ndlo","Free narrative","M40",0.00809999999999889,0.144642857142844,-0.0014499999999984,-0.0258928571428297,0.0507000000000062,"07__M35__M40_free_narr",76.075,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00799999999999557,0.14285714285707,0.00659999999999883,0.117857142857127,0.0588000000000051,"07__M35__M40_free_narr",75.0854,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00800000000000978,0.142857142857324,0.0146000000000015,0.260714285714325,0.0668000000000006,"07__M35__M40_free_narr",74.6831,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00789999999999225,0.141071428571297,0.0225500000000025,0.402678571428635,0.0748000000000104,"07__M35__M40_free_narr",74.1696,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00790000000000646,0.14107142857155,0.0304500000000019,0.543750000000059,0.0827000000000027,"07__M35__M40_free_narr",73.5186,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00779999999998893,0.139285714285523,0.0382999999999996,0.683928571428595,0.0906000000000091,"07__M35__M40_free_narr",73.4851,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00760000000001071,0.135714285714483,0.0459999999999994,0.821428571428599,0.098399999999998,"07__M35__M40_free_narr",74.3425,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"lˀ","w_olˀ^o_ndlo","Free narrative","M40",0.00769999999999982,0.137500000000003,0.0536500000000046,0.958035714285842,0.106000000000009,"07__M35__M40_free_narr",75.2444,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
"^o","w_olˀ^o_ndlo","Free narrative","M40",0.00780000000000314,0.139285714285777,0.0614000000000061,1.09642857142873,0.113700000000009,"07__M35__M40_free_narr",75.7513,"Free narrative","lˀ, Free narrative","lˀ","Free narrative, w_olˀ^o_ndlo"
